ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,eleito,competitivo,tem_despesa,registros,teto,gasto_bruto,exclusao_2022,gasto_aproximado,gasto_pct,bruto_pct,receita_pct,top,fora,faixa
2018,AC,1717,SEBASTIÃO BOCALOM RODRIGUES,PSL,0,True,True,52.0,2500000.0,117737.89,0.0,117737.89,4.7095156,4.7095156,5.1495156,0.0,1.0,0 a <10%
2018,AC,1718,JOSE MARIA DE FREITAS MOREIRA,PSL,0,True,False,,2500000.0,,,,,,0.0,0.0,1.0,Sem registro
2018,AC,1755,MANOEL JOSE NOGUEIRA LIMA,PSL,0,True,True,7.0,2500000.0,30026.4,0.0,30026.4,1.201056,1.201056,2.2484308,1.0,0.0,0 a <10%
2018,AC,1771,RAIMUNDO RICARDO GOMES DA SILVA,PSL,0,False,False,,2500000.0,,,,,,0.0023528,1.0,0.0,Sem registro
2018,AC,1777,ADRIANO JOSÉ CALDAS DE AGUIAR CAMPELLO,PSL,0,False,True,5.0,2500000.0,3483.2,0.0,3483.2,0.139328,0.139328,0.20288079999999997,1.0,0.0,0 a <10%
2018,AC,1788,BERENICE NASCIMENTO DE SOUZA,PSL,0,False,False,,2500000.0,,,,,,0.0520328,1.0,0.0,Sem registro
2018,AC,5012,GLÓRIA THAÍS SOUZA DE MELO,PSOL,0,False,True,44.0,2500000.0,119818.45,0.0,119818.45,4.792738,4.792738,4.8911944,1.0,0.0,0 a <10%
2018,AC,5013,HAMMERLY DA SILVA ALBUQUERQUE,PSOL,0,True,True,19.0,2500000.0,55998.2,0.0,55998.2,2.239928,2.239928,2.3306664,1.0,0.0,0 a <10%
2018,AC,5050,FRANCISCO DA SILVA PIYÃKO,PSOL,0,False,True,38.0,2500000.0,77671.08,0.0,77671.08,3.1068432,3.1068432,3.3134664,1.0,0.0,0 a <10%
2018,AC,5055,GILDOMAR OLIVEIRA GOMES,PSOL,0,False,True,17.0,2500000.0,47726.75,0.0,47726.75,1.90907,1.90907,2.0111944,0.0,1.0,0 a <10%
2018,AC,1300,DARLA CRISTINA PENHA ALMEIDA DE OLIVEIRA,PT,0,False,True,7.0,2500000.0,9986.7,0.0,9986.7,0.39946800000000005,0.39946800000000005,0.448,0.0,1.0,0 a <10%
2018,AC,1313,SEBASTIÃO SIBA MACHADO OLIVEIRA,PT,0,True,True,250.0,2500000.0,933000.0,0.0,933000.0,37.32,37.32,46.08,1.0,0.0,25 a <50%
2018,AC,1314,RAIMUNDO ANGELIM VASCONCELOS,PT,0,True,True,216.0,2500000.0,893181.17,0.0,893181.17,35.7272468,35.7272468,37.86544,1.0,0.0,25 a <50%
2018,AC,1331,LEONARDO CUNHA DE BRITO,PT,1,True,True,154.0,2500000.0,1147505.67,0.0,1147505.67,45.9002268,45.9002268,48.2558,1.0,0.0,25 a <50%
2018,AC,1377,RAQUEL GLEYCIANE SANTOS DE SOUZA,PT,0,False,True,28.0,2500000.0,69012.54,0.0,69012.54,2.7605015999999996,2.7605015999999996,2.72,0.0,1.0,0 a <10%
2018,AC,1414,CHARLENE MARIA DE LIMA,PTB,0,False,True,229.0,2500000.0,345872.95,0.0,345872.95,13.834918,13.834918,18.42399,1.0,0.0,10 a <25%
2018,AC,3611,JOSÉ EDIMAR SANTIAGO DE MELO JUNIOR,PTC,0,False,True,236.0,2500000.0,569583.58,0.0,569583.58,22.783343199999997,22.783343199999997,24.44,1.0,0.0,10 a <25%
2018,AC,4300,ITAMARA SOUZA DA COSTA,PV,0,False,True,43.0,2500000.0,45019.8,0.0,45019.8,1.800792,1.800792,2.070882,0.0,1.0,0 a <10%
2018,AC,4343,HENRIQUE AFONSO SOARES LIMA,PV,0,True,True,201.0,2500000.0,280955.54,0.0,280955.54,11.2382216,11.2382216,11.943638,1.0,0.0,10 a <25%
2018,AC,1800,IUNA BARROS CHAVES,REDE,0,False,True,10.0,2500000.0,2231.05,0.0,2231.05,0.08924200000000002,0.08924200000000002,0.16216,0.0,1.0,0 a <10%
2018,AC,1818,CARLOS GOMES DA COSTA SOUZA,REDE,0,False,True,62.0,2500000.0,314913.55,0.0,314913.55,12.596542,12.596542,12.6404,1.0,0.0,10 a <25%
2018,AC,7777,VANDA DENIR MILANI NOGUEIRA,SOLIDARIEDADE,1,True,True,402.0,2500000.0,1444060.0,0.0,1444060.0,57.7624,57.7624,58.0,1.0,0.0,50 a <80%
2018,AL,7070,GIVALDO DE SA GOUVEIA CARIMBÃO,AVANTE,0,True,True,30.0,2500000.0,1121422.48,0.0,1121422.48,44.8568992,44.8568992,17.38439,1.0,0.0,25 a <50%
2018,AL,2700,VILMA LINS DA SILVA,DC,0,False,False,,2500000.0,,,,,,1.9228,1.0,0.0,Sem registro
2018,AL,2727,RORYERTON FREIRE DE OLIVEIRA,DC,0,False,False,,2500000.0,,,,,,1.1742104,1.0,0.0,Sem registro
2018,AL,2500,ELIELZA MELQUIADES DOS SANTOS,DEM,0,False,True,1.0,2500000.0,5000.0,0.0,5000.0,0.2,0.2,0.2235548,0.0,1.0,0 a <10%
2018,AL,2511,ROSINEIDE SILVA DE CARVALHO,DEM,0,False,False,,2500000.0,,,,,,0.0,0.0,1.0,Sem registro
2018,AL,1514,FERNANDA DA SILVA MONTEIRO,MDB,0,False,True,27.0,2500000.0,49999.43,0.0,49999.43,1.9999772,1.9999772,2.0264928,1.0,0.0,0 a <10%
2018,AL,1515,ISNALDO BULHÕES BARROS JUNIOR,MDB,1,True,True,38.0,2500000.0,953000.0,0.0,953000.0,38.12,38.12,39.7629488,0.0,1.0,25 a <50%
2018,AL,1577,JOSIENE MARIA DA SILVA,MDB,0,False,True,17.0,2500000.0,49993.35,0.0,49993.35,1.999734,1.999734,2.0664928,1.0,0.0,0 a <10%
2018,AL,3000,ADELMO JOSÉ SILVA DE ASSIS,NOVO,0,False,True,7.0,2500000.0,1417.3,0.0,1417.3,0.056692,0.056692,0.10116039999999998,0.5,0.5,0 a <10%
2018,AL,3001,TIBÉRIO DA SILVA ROCHA JÚNIOR,NOVO,0,False,True,7.0,2500000.0,6116.21,0.0,6116.21,0.2446484,0.2446484,0.2919664,0.5,0.5,0 a <10%
2018,AL,3030,MARIA TAVARES FERRO,NOVO,0,False,True,46.0,2500000.0,46822.66,0.0,46822.66,1.8729064,1.8729064,1.948578,1.0,0.0,0 a <10%
2018,AL,5123,JOSILDO BRAZ COSTA,PATRI,0,False,True,5.0,2500000.0,3970.0,0.0,3970.0,0.1588,0.1588,0.1788,0.0,1.0,0 a <10%
2018,AL,5153,ADEMARIO DE OLIVEIRA,PATRI,0,False,True,3.0,2500000.0,6236.25,0.0,6236.25,0.24945,0.24945,0.27,0.0,1.0,0 a <10%
2018,AL,5154,BRUNA DUARTE HONÓRIO,PATRI,0,False,False,,2500000.0,,,,,,0.0,0.0,1.0,Sem registro
2018,AL,6500,FELICIANO DOMINGOS DA SILVA,PC DO B,0,False,True,1.0,2500000.0,1000.0,0.0,1000.0,0.04,0.04,0.0557504,0.0,1.0,0 a <10%
2018,AL,6544,MARIA DAS GRAÇAS SOARES DE ARAUJO,PC DO B,0,False,True,25.0,2500000.0,33288.95,0.0,33288.95,1.3315579999999998,1.3315579999999998,1.4825659999999998,1.0,0.0,0 a <10%
2018,AL,6555,EMERSON MAMEDE FERREIRA,PC DO B,0,False,True,2.0,2500000.0,1125.56,0.0,1125.56,0.0450224,0.0450224,0.3419128,0.0,1.0,0 a <10%
2018,AL,6565,ROBSON DA SILVA LIMA,PC DO B,0,False,True,10.0,2500000.0,9017.5,0.0,9017.5,0.3607,0.3607,1.1934584,1.0,0.0,0 a <10%
2018,AL,1212,RONALDO AUGUSTO LESSA SANTOS,PDT,0,True,True,53.0,2500000.0,620979.99,0.0,620979.99,24.8391996,24.8391996,25.9025808,1.0,0.0,10 a <25%
2018,AL,1234,MARCELO TADEU LEMOS DE OLIVEIRA,PDT,0,False,True,49.0,2500000.0,148334.16,0.0,148334.16,5.9333664,5.9333664,2.9963416000000005,0.0,1.0,0 a <10%
2018,AL,3100,MARCOS ANTONIO FERNANDES DA SILVA ALMEIDA,PHS,0,False,False,,2500000.0,,,,,,0.3323528,0.0,1.0,Sem registro
2018,AL,3110,MARIO JORGE PONTES DE OLIVEIRA,PHS,0,False,True,6.0,2500000.0,2039.4,0.0,2039.4,0.081576,0.081576,0.2618304,1.0,0.0,0 a <10%
2018,AL,3111,EDVALDO GOUVEIA DA ROCHA JUNIOR,PHS,0,False,False,,2500000.0,,,,,,0.0,0.0,1.0,Sem registro
2018,AL,3122,ERALDO FERREIRA DA SILVA,PHS,0,False,False,,2500000.0,,,,,,0.209612,1.0,0.0,Sem registro
2018,AL,3131,FLAVIO HENRIQUE CATAO NOGUEIRA,PHS,0,False,True,19.0,2500000.0,17243.05,0.0,17243.05,0.689722,0.689722,1.3699144,1.0,0.0,0 a <10%
2018,AL,3133,MARIA SUELI DA SILVA,PHS,0,False,True,13.0,2500000.0,9810.0,0.0,9810.0,0.3924,0.3924,0.602126,1.0,0.0,0 a <10%
2018,AL,3333,OLÍVIA COIMBRA CERQUEIRA TENÓRIO,PMN,0,False,True,188.0,2500000.0,920604.07,0.0,920604.07,36.8241628,36.8241628,37.9869932,1.0,0.0,25 a <50%
2018,AL,1999,ALVARO JOSÉ DO MONTE VASCONCELOS,PODE,0,False,True,37.0,2500000.0,61773.63,0.0,61773.63,2.4709452,2.4709452,2.6229452,0.0,1.0,0 a <10%
2018,AL,1100,MARIA DOS PRAZERES DA ROCHA BRANDÃO,PP,0,False,True,49.0,2500000.0,249979.68,0.0,249979.68,9.9991872,9.9991872,10.1656388,0.0,1.0,0 a <10%
2018,AL,1110,HEMERSON CASADO GAMA,PP,0,False,True,29.0,2500000.0,130527.0,0.0,130527.0,5.22108,5.22108,5.9260048,0.0,1.0,0 a <10%
2018,AL,1111,ARTHUR CESAR PEREIRA DE LIRA,PP,1,True,True,283.0,2500000.0,1765947.26,0.0,1765947.26,70.6378904,70.6378904,69.6717264,1.0,0.0,50 a <80%
2018,AL,1119,ALIETE DE OLIVEIRA SILVA,PP,0,False,False,,2500000.0,,,,,,0.01908,0.0,1.0,Sem registro
2018,AL,1144,JOSÉ LUIZ VASCONCELLOS DOS ANJOS,PP,0,False,True,377.0,2500000.0,749465.92,0.0,749465.92,29.9786368,29.9786368,31.537888,1.0,0.0,25 a <50%
2018,AL,5444,PEROLINA JOANA DA SILVA LINS,PPL,0,False,True,4.0,2500000.0,1313.2,0.0,1313.2,0.052528,0.052528,0.1008,1.0,0.0,0 a <10%
2018,AL,5454,JOÃO SILVIO PONTES,PPL,0,False,True,4.0,2500000.0,1313.2,0.0,1313.2,0.052528,0.052528,0.1008,1.0,0.0,0 a <10%
2018,AL,2323,JOSE REGIS BARROS CAVALCANTE,PPS,0,True,True,81.0,2500000.0,696728.04,0.0,696728.04,27.8691216,27.8691216,26.642168800000004,1.0,0.0,25 a <50%
2018,AL,2222,SÉRGIO TOLEDO DE ALBUQUERQUE,PR,1,True,True,235.0,2500000.0,1355557.26,0.0,1355557.26,54.2222904,54.2222904,58.3289072,1.0,0.0,50 a <80%
2018,AL,1010,SEVERINO DE LIRA PESSÔA,PRB,1,True,True,251.0,2500000.0,841497.4,0.0,841497.4,33.659896,33.659896,34.3062368,1.0,0.0,25 a <50%
2018,AL,9090,GEOBERTO OMENA DE OLIVEIRA,PROS,0,False,True,4.0,2500000.0,70.0,0.0,70.0,0.0028,0.0028,0.7277336,0.0,1.0,0 a <10%
2018,AL,2800,EMMANUEL FORTES SILVEIRA CAVALCANTI,PRTB,0,False,True,50.0,2500000.0,316502.15,0.0,316502.15,12.660086000000002,12.660086000000002,13.505018,1.0,0.0,10 a <25%
2018,AL,2828,FRANCISCO JOSÉ DA SILVA,PRTB,0,True,True,23.0,2500000.0,31347.45,0.0,31347.45,1.253898,1.253898,1.5738979999999998,0.0,1.0,0 a <10%
2018,AL,4011,EDUARDO JORGE VASCONCELOS DE LIMA,PSB,0,False,True,8.0,2500000.0,11126.43,0.0,11126.43,0.4450572,0.4450572,0.2,0.0,1.0,0 a <10%
2018,AL,4040,JOÃO HENRIQUE HOLANDA CALDAS,PSB,1,True,True,253.0,2500000.0,1298680.16,0.0,1298680.16,51.94720639999999,51.94720639999999,55.816,1.0,0.0,50 a <80%
2018,AL,2000,WALTER DO VALLE DE MELO JÚNIOR,PSC,0,False,True,17.0,2500000.0,208783.16,0.0,208783.16,8.3513264,8.3513264,8.41408,1.0,0.0,0 a <10%
2018,AL,2020,IVANISE GUIMARÃES DA SILVA,PSC,0,False,True,17.0,2500000.0,299334.2,0.0,299334.2,11.973368,11.973368,12.0,1.0,0.0,10 a <25%
2018,AL,5555,MARX BELTRÃO LIMA SIQUEIRA,PSD,1,False,True,13.0,2500000.0,1049678.5,0.0,1049678.5,41.98714,41.98714,42.9448776,1.0,0.0,25 a <50%
2018,AL,5577,MARIA APARECIDA LISBOA,PSD,0,False,True,7.0,2500000.0,448987.67,0.0,448987.67,17.9595068,17.9595068,18.0,1.0,0.0,10 a <25%
2018,AL,4500,JOSE EDUARDO ACCIOLY CANUTO,PSDB,0,False,True,52.0,2500000.0,163756.42,0.0,163756.42,6.5502568000000005,6.5502568000000005,7.5702568,0.0,1.0,0 a <10%
2018,AL,4544,TEREZA NELMA DA SILVA PORTO VIANA SOARES,PSDB,1,True,True,529.0,2500000.0,801056.8,0.0,801056.8,32.042272,32.042272,32.98812,1.0,0.0,25 a <50%
2018,AL,4566,PEDRO TORRES BRANDAO VILELA,PSDB,0,False,True,226.0,2500000.0,1356815.09,0.0,1356815.09,54.2726036,54.2726036,54.3590036,1.0,0.0,50 a <80%
2018,AL,1700,LUCIANO VALDOMIRO SILVA FONTES,PSL,0,False,True,2.0,2500000.0,500.0,0.0,500.0,0.02,0.02,0.0722068,0.0,1.0,0 a <10%
2018,AL,1706,LOUISE CHRISTIANE DE VASCONCELOS SILVA,PSL,0,False,True,4.0,2500000.0,500.0,0.0,500.0,0.02,0.02,0.1066228,0.0,1.0,0 a <10%
2018,AL,1707,JAMMES STENIO SOBREIRA,PSL,0,False,True,1.0,2500000.0,500.0,0.0,500.0,0.02,0.02,0.05862280000000001,0.0,1.0,0 a <10%
2018,AL,1717,ANTONIO CARLOS RAMOS,PSL,0,True,True,2.0,2500000.0,500.0,0.0,500.0,0.02,0.02,0.02,0.0,1.0,0 a <10%
2018,AL,1718,ANDERSON PIMENTEL ANDRADE,PSL,0,False,True,1.0,2500000.0,500.0,0.0,500.0,0.02,0.02,0.05862280000000001,0.0,1.0,0 a <10%
2018,AL,1777,VALGETAN FERREIRA DE OLIVEIRA,PSL,0,False,True,1.0,2500000.0,500.0,0.0,500.0,0.02,0.02,0.2466228,0.0,1.0,0 a <10%
2018,AL,1778,QUITERIA SOUZA DOS SANTOS,PSL,0,False,False,,2500000.0,,,,,,0.05862280000000001,0.0,1.0,Sem registro
2018,AL,1780,JOSE ABELARDO DA SILVA,PSL,0,False,True,3.0,2500000.0,500.0,0.0,500.0,0.02,0.02,0.02,0.0,1.0,0 a <10%
2018,AL,1788,GILVAN DA SILVA MENEZES,PSL,0,False,True,4.0,2500000.0,500.0,0.0,500.0,0.02,0.02,0.02,0.0,1.0,0 a <10%
2018,AL,1789,TULIO OSTILIO PEIXOTO CAVALCANTE,PSL,0,False,True,6.0,2500000.0,1780.0,0.0,1780.0,0.0712,0.0712,0.0712,0.0,1.0,0 a <10%
2018,AL,5000,ABELARDO PEDRO NOBRE JUNIOR,PSOL,0,False,False,,2500000.0,,,,,,0.0374464,0.0,1.0,Sem registro
