UF,Ano,Grupo,Medida,N_universo,N_com_registro,N_sem_registro,Media_pct,Mediana_pct,P90_pct,P95_pct,P99_pct,Max_pct,N_ge10,Pct_ge10,N_ge50,Pct_ge50,N_ge80,Pct_ge80,N_ge90,Pct_ge90,N_ge95,Pct_ge95,N_ge99,Pct_ge99,N_ge100,Pct_ge100,N_igual100,N_acima100,Pct_observada_ge95_no_universo
RN,2018,Eleitos,gasto_pct,8.0,8.0,0.0,49.110403649999995,54.7788668,98.39001199999998,98.39001199999998,98.39001199999998,98.39001199999998,7.0,87.5,5.0,62.5,1.0,12.5,1.0,12.5,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5
RO,2018,Todos,gasto_pct,92.0,80.0,12.0,10.817084104999998,0.941486,33.89804,74.5856724,98.71986,98.71986,16.0,20.0,6.0,7.5,4.0,5.0,2.0,2.5,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0869565217391304
RO,2018,Eleitos,gasto_pct,8.0,8.0,0.0,43.018462150000005,24.92413,93.3542844,93.3542844,93.3542844,93.3542844,6.0,75.0,3.0,37.5,2.0,25.0,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR,2018,Todos,gasto_pct,133.0,98.0,35.0,7.2365447346938785,1.19989,14.0861008,40.6375648,97.87461,97.87461,15.0,15.306122448979592,4.0,4.081632653061225,2.0,2.0408163265306123,2.0,2.0408163265306123,1.0,1.0204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.7518796992481203
RR,2018,Eleitos,gasto_pct,8.0,8.0,0.0,41.12887225,37.944138,92.2894744,92.2894744,92.2894744,92.2894744,5.0,62.5,3.0,37.5,1.0,12.5,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS,2018,Todos,gasto_pct,404.0,350.0,54.0,8.028631293714284,1.0995424,31.9846284,55.072,86.1275808,95.203398,58.0,16.571428571428573,19.0,5.428571428571429,5.0,1.4285714285714286,3.0,0.8571428571428571,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.24752475247524752
RS,2018,Eleitos,gasto_pct,31.0,31.0,0.0,44.996748529032246,41.7158792,79.6764052,92.9212756,95.203398,95.203398,26.0,83.87096774193549,12.0,38.70967741935484,3.0,9.67741935483871,3.0,9.67741935483871,1.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,3.225806451612903
SC,2018,Todos,gasto_pct,232.0,190.0,42.0,8.689422637894737,1.2084424,32.8140124,49.283713600000006,83.89333960000002,95.70760119999998,35.0,18.42105263157895,9.0,4.7368421052631575,3.0,1.5789473684210527,1.0,0.5263157894736842,1.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.43103448275862066
SC,2018,Eleitos,gasto_pct,16.0,16.0,0.0,35.107499575,29.8694496,81.977716,95.70760119999998,95.70760119999998,95.70760119999998,11.0,68.75,4.0,25.0,2.0,12.5,1.0,6.25,1.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,6.25
SE,2018,Todos,gasto_pct,110.0,89.0,21.0,6.534500934831461,0.48,26.758206,42.9066068,83.9523736,83.9523736,13.0,14.606741573033707,4.0,4.49438202247191,1.0,1.1235955056179776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
