unidade_reamostragem,n_unidades,alvo,ano_eleicao,magnitude,metrica,estimativa,ic95_inf,ic95_sup
partido,35,eleitos,2018,Total,precisao,0.1919758412424504,0.12874632523595853,0.2617395361582695
partido,35,eleitos,2018,Total,lift,1.9815439888506896,1.8395877223679509,2.1637669991770463
partido,35,eleitos,2018,Pequeno (8–12),cobertura,0.9302325581395349,0.8732169613425231,0.9777777777777777
partido,35,eleitos,2018,Pequeno (8–12),precisao,0.13761467889908258,0.08415266195262708,0.20046395004419373
partido,35,eleitos,2018,Pequeno (8–12),lift,1.4985950671245705,1.3900166366852251,1.6157145392194485
partido,35,eleitos,2018,Médio (16–31),cobertura,0.8835227272727273,0.7794562960841864,0.9681553937923365
partido,35,eleitos,2018,Médio (16–31),precisao,0.2084450402144772,0.12926920825076563,0.30577271450714216
partido,35,eleitos,2018,Médio (16–31),lift,2.0668856183460824,1.8290252412462717,2.3457276895093604
partido,35,eleitos,2018,Grande (39–70),cobertura,0.8149038461538461,0.6677611521181002,0.9293506449576042
partido,35,eleitos,2018,Grande (39–70),precisao,0.24214285714285713,0.17320747125043193,0.307549780386285
partido,35,eleitos,2018,Grande (39–70),lift,2.4471802465835637,2.136808874743361,2.9982908907885424
partido,32,eleitos,2022,Total,cobertura,0.9263007947218473,0.8716688492350092,0.9767250738231718
partido,32,eleitos,2022,Total,precisao,0.12426577084003862,0.07458702408906033,0.1780597449863449
partido,32,eleitos,2022,Total,lift,2.1174347754230407,1.943397837795915,2.32649423166693
partido,32,eleitos,2022,Pequeno (8–12),cobertura,0.9418604651162791,0.8863580108010801,0.978731758939512
partido,32,eleitos,2022,Pequeno (8–12),precisao,0.0896678966789668,0.04700174188851913,0.13633691288159708
partido,32,eleitos,2022,Pequeno (8–12),lift,1.4438613614449594,1.3003587860637653,1.593568118283697
partido,32,eleitos,2022,Médio (16–31),cobertura,0.9005681818181818,0.8266891617204651,0.9824599542334095
partido,32,eleitos,2022,Médio (16–31),precisao,0.1218293620292083,0.06901773629399481,0.1815509058136698
partido,32,eleitos,2022,Médio (16–31),lift,2.397709384005701,2.188493636255724,2.644844304316651
