Ano,UF,Partido,Magnitude,Regra,C,Financiados,E,Recursos R$,NECr,K,Recursos no núcleo R$,Massa de recursos %,Amplitude %,Excesso de massa pp,Fronteira válida,Distância relativa no corte %,Empate na fronteira,Candidatos com peso fracionário,Posições fracionárias,Acertos,Acertos mínimos por desempate,Acertos máximos por desempate,Esperado aleatório,Esperado entre financiados,K sorteio financiados,Eleitos financiados,Jaccard com principal,Composição idêntica à principal,Reescala x7 preserva implementação
2018,AC,PMB,8–12,Arredondado,1,1,0,30000.0,1.0,1,30000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMB,8–12,Piso,1,1,0,30000.0,1.0,1,30000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMB,8–12,Teto,1,1,0,30000.0,1.0,1,30000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMB,8–12,Uma posição a menos,1,1,0,30000.0,1.0,1,30000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMB,8–12,Uma posição a mais,1,1,0,30000.0,1.0,1,30000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMB,8–12,Acumulado ≥ 80%,1,1,0,30000.0,1.0,1,30000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMB,8–12,Receitas arredondadas a centavos,1,1,0,30000.0,1.0,1,30000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMN,8–12,Arredondado,1,1,0,150000.0,1.0,1,150000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMN,8–12,Piso,1,1,0,150000.0,1.0,1,150000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMN,8–12,Teto,1,1,0,150000.0,1.0,1,150000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMN,8–12,Uma posição a menos,1,1,0,150000.0,1.0,1,150000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMN,8–12,Uma posição a mais,1,1,0,150000.0,1.0,1,150000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMN,8–12,Acumulado ≥ 80%,1,1,0,150000.0,1.0,1,150000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PMN,8–12,Receitas arredondadas a centavos,1,1,0,150000.0,1.0,1,150000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PODE,8–12,Arredondado,2,1,0,100000.0,1.0,1,100000.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PODE,8–12,Piso,2,1,0,100000.0,1.0,1,100000.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PODE,8–12,Teto,2,1,0,100000.0,1.0,1,100000.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PODE,8–12,Uma posição a menos,2,1,0,100000.0,1.0,1,100000.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PODE,8–12,Uma posição a mais,2,1,0,100000.0,1.0,2,100000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.5,False,True
