Ano,UF,Partido,C,NECr,K,Massa de recursos %,Amplitude %,Distância relativa no corte %,Fronteira válida,Empate na fronteira,Candidatos com peso fracionário
2018,BA,PPS,1,1.0,1,100.0,100.0,,False,False,0
2018,BA,PR,3,2.9052947459437464,3,100.0,100.0,,False,False,0
2018,BA,PRB,4,3.2478317021931455,3,93.31329344157602,75.0,69.22899259017817,True,False,0
2018,BA,PROS,12,1.0,1,100.0,8.333333333333332,100.0,True,False,0
2018,BA,PRP,11,1.154499363120957,1,93.02325581395348,9.090909090909092,98.5,True,False,0
2018,BA,PRTB,9,2.0059389804084793,2,89.90461799981112,22.22222222222222,58.68599033816425,True,False,0
2018,BA,PSB,6,1.7743102674703857,2,91.19090603083781,33.33333333333333,62.36874999999999,True,False,0
2018,BA,PSC,9,1.5454995927587452,2,84.7053970711138,22.22222222222222,5.963263464384121,True,False,0
2018,BA,PSD,10,8.70164949571133,9,97.01927325246865,90.0,0.0,True,True,2
2018,BA,PSDB,8,3.1305183360689806,3,86.2842305630664,37.5,2.91738296112489,True,False,0
2018,BA,PSL,4,1.0033098792260402,1,99.83477901693514,25.0,99.83450558543649,True,False,0
2018,BA,PSOL,50,12.395785192244956,12,89.6072712402921,24.0,25.71428571428571,True,False,0
2018,BA,PT,12,8.874872316893539,9,97.21814837424219,75.0,80.5307855626327,True,False,0
2018,BA,PTB,3,1.2680424062845823,1,88.36737247027574,33.33333333333333,90.92327711809531,True,False,0
2018,BA,PTC,22,1.9655728431725479,2,87.88733978814011,9.090909090909092,50.0,True,False,0
2018,BA,PV,12,4.174670062981458,4,85.23959818174032,33.33333333333333,20.0,True,False,0
2018,BA,REDE,20,2.329581723134745,2,68.84416760527265,10.0,7.394669591465173,True,False,0
2018,BA,SOLIDARIEDADE,6,1.0679306985188939,1,96.74447174447175,16.666666666666664,98.09523809523809,True,False,0
2018,CE,AVANTE,6,1.057474580996024,1,97.20430107526882,16.666666666666664,97.12389380530973,True,False,0
2018,CE,DC,7,5.529086523414408,6,94.54828547212574,85.71428571428571,37.5,True,False,0
2018,CE,DEM,6,1.1512894306190395,1,93.06930693069307,16.666666666666664,96.27659574468085,True,False,0
2018,CE,MDB,6,3.3409383009954885,3,86.91984574020479,50.0,40.976581391378346,True,False,0
2018,CE,NOVO,6,4.289309328097349,4,86.63535876896445,66.66666666666666,0.0,True,True,2
2018,CE,PATRI,19,8.856005948272141,9,83.78564981895178,47.368421052631575,23.676323676323676,True,False,0
2018,CE,PC DO B,3,1.986100507323122,2,98.40597675076374,66.66666666666666,95.95848750600672,True,False,0
