ano_eleicao,sg_partido_norm,alvo,n_listas,H_observado,E_esperado,lift,denominador_pequeno
2018+2022,REDE,eleitos,52,3.0,0.6150793650793651,4.877419354838709,True
2018+2022,PSOL,eleitos,54,22.0,5.445499480148138,4.0400334404956215,False
2018+2022,PATRI,eleitos,26,3.0,0.8187058555479607,3.6643197061197235,True
2018+2022,AVANTE,eleitos,46,13.0,3.631354756354756,3.5799311475284563,True
2018+2022,PATRIOTA,eleitos,26,4.0,1.1857585139318885,3.3733681462140996,True
2018+2022,PRP,eleitos,25,2.0,0.5982190324295588,3.3432570539880024,True
2018+2022,PROS,eleitos,49,10.0,3.0132810585640772,3.318641641999805,True
2018+2022,PSC,eleitos,50,12.0,3.787459436911082,3.1683507638531374,True
2018+2022,PHS,eleitos,27,3.0,1.0080840599150458,2.9759423041098563,True
2018+2022,PDT,eleitos,54,39.0,15.334333668311276,2.54331233711148,False
2018+2022,PODE,eleitos,53,20.5,8.218189935041602,2.4944665628364096,False
2018+2022,PPS,eleitos,26,8.0,3.255844155844156,2.4571200638213004,True
2018+2022,NOVO,eleitos,36,9.0,3.966462630936315,2.2690242761408492,True
2018+2022,PL,eleitos,25,79.6923076923077,35.3777479240601,2.2526111007227128,False
2018+2022,PSB,eleitos,52,42.0,18.815459105726283,2.2322070252974986,False
2018+2022,CIDADANIA,eleitos,23,4.0,1.8138888888888889,2.2052067381316998,True
2018+2022,PT,eleitos,53,124.0,57.67543280200602,2.149962193186821,False
2018+2022,REPUBLICANOS,eleitos,27,40.0,18.784044685516296,2.1294668251530817,False
2018+2022,MDB,eleitos,52,65.5,31.498993735023145,2.079431506637997,False
2018+2022,PSDB,eleitos,52,38.0,18.80024665542271,2.0212500770057367,False
2018+2022,DEM,eleitos,27,26.0,13.062676358728991,1.9904037492765243,False
2018+2022,PRB,eleitos,26,29.0,14.855416815114527,1.9521498697023552,False
2018+2022,PP,eleitos,51,84.0,44.14954375056124,1.902624418376513,False
2018+2022,SOLIDARIEDADE,eleitos,51,17.0,9.26539668654489,1.8347838279484805,False
2018+2022,PSL,eleitos,27,21.5,11.887059733974434,1.8086894893403116,False
2018+2022,PSD,eleitos,53,72.0,40.86988715086121,1.7616882506729117,False
2018+2022,PR,eleitos,27,33.0,20.41140526140526,1.6167431677228898,False
2018+2022,UNIAO,eleitos,26,58.5,36.753758777916026,1.5916739388067835,False
2018+2022,PV,eleitos,54,7.5,4.7749999999999995,1.5706806282722514,True
2018+2022,PC DO B,eleitos,51,15.0,9.844444444444445,1.5237020316027088,False
2018+2022,PTC,eleitos,25,2.0,1.5,1.3333333333333333,True
2018+2022,PTB,eleitos,52,9.0,7.050827423167847,1.2764459346186088,False
2018+2022,DC,eleitos,46,0.0,0.22727272727272727,0.0,True
2018+2022,AGIR,eleitos,22,0.0,0.0,,True
2018+2022,PCB,eleitos,23,0.0,0.0,,True
2018+2022,PCO,eleitos,17,0.0,0.0,,True
2018+2022,PMB,eleitos,34,0.0,0.0,,True
2018+2022,PRTB,eleitos,43,0.0,0.0,,True
2018+2022,PSTU,eleitos,29,0.0,0.0,,True
2018+2022,UP,eleitos,13,0.0,0.0,,True
