Ano,Partido,UF,Candidato,Peso fora,vr_receita_recursos_partidos,proprios,pessoas_fisicas,Eleito federal no pleito anterior,"Vitória federal mais antiga, sem vitória no pleito anterior",Vitória anterior para deputado estadual/distrital,Vitória anterior para prefeito,Vitória anterior para vereador,Votação histórica ≥ 10% do QE,Alguma vitória eleitoral anterior,Sem vitória nem votação relevante registrada,Mulheres,Pessoas pretas ou pardas
2018,PSL,SC,DANIEL COSTA DE FREITAS,1.0,0.0,0.0,329200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSL,SC,CAROLINE RODRIGUES DE TONI,0.25,265.0,13761.1,56566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2018,PSL,SC,LUIZ ARMANDO SCHROEDER REIS,0.25,265.0,500.0,46828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSL,SP,MARCIO TADEU ANHAIA DE LEMOS,1.0,3975.24,29500.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSL,SP,LUIZ PHILIPPE DE ORLEANS BRAGANÇA,1.0,0.0,62000.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSL,SP,ROBERTO SEBASTIÃO PETERNELLI JUNIOR,1.0,6000.0,8712.880000000001,30850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSL,SP,NICOLINO BOZZELLA JUNIOR,1.0,0.0,225000.0,167500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018,PSL,SP,ALEXANDRE FROTA DE ANDRADE,1.0,5300.32,0.0,19457.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSL,SP,JOSÉ GUILHERME NEGRÃO PEIXOTO,1.0,3975.24,121689.08,9900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PTB,PA,JOSE EDUARDO PEREIRA DA COSTA,1.0,233538.05,4520.0,11700.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018,PV,SP,ENRICO VAN BLARCUM DE GRAAFF MISASI,0.5,100000.0,5000.0,266353.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,CIDADANIA,AM,AMOM MANDEL LINS FILHO,1.0,30000.0,10000.0,448232.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,MDB,AL,RAFAEL DE GOES BRITO,1.0,400000.0,12385.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,MDB,PA,ANDREIA BRITO GONÇALVES SIQUEIRA,0.5,387500.0,253000.0,286200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
