Ano,Partido,Perfil,Candidatos com perfil,Perfil no núcleo (ponderado),Núcleo válido (ponderado),Ausência no núcleo (ponderada),Composição do núcleo %,Composição fora %,Entrada no núcleo entre candidatos do perfil %
2022,UNIAO,Mulheres,173,89.5,281.0,0.0,31.85053380782918,39.018691588785046,51.73410404624278
2022,UNIAO,Pessoas pretas ou pardas,224,117.0,281.0,0.0,41.637010676156585,50.0,52.232142857142854
2022,UP,Eleito federal no pleito anterior,0,0.0,17.0,0.0,0.0,0.0,
2022,UP,"Vitória federal mais antiga, sem vitória no pleito anterior",0,0.0,17.0,0.0,0.0,0.0,
2022,UP,Vitória anterior para deputado estadual/distrital,0,0.0,17.0,0.0,0.0,0.0,
2022,UP,Vitória anterior para prefeito,0,0.0,17.0,0.0,0.0,0.0,
2022,UP,Vitória anterior para vereador,0,0.0,17.0,0.0,0.0,0.0,
2022,UP,Votação histórica ≥ 10% do QE,0,0.0,17.0,0.0,0.0,0.0,
2022,UP,Alguma vitória eleitoral anterior,0,0.0,17.0,0.0,0.0,0.0,
2022,UP,Sem vitória nem votação relevante registrada,18,17.0,17.0,0.0,100.0,100.0,94.44444444444444
2022,UP,Mulheres,11,11.0,17.0,0.0,64.70588235294117,0.0,100.0
2022,UP,Pessoas pretas ou pardas,12,11.0,17.0,0.0,64.70588235294117,100.0,91.66666666666667
