Ano,Partido,UF,C,E,K,A,M,magnitude,esperado,amplitude,cobertura,precisao
2018,PCB,MA,2,0,2.0,0.0,18,16–31,0.0,100.0,,0.0
2018,PCB,MG,12,0,3.0,0.0,53,39–70,0.0,25.0,,0.0
2018,PCB,PA,1,0,1.0,0.0,17,16–31,0.0,100.0,,0.0
2018,PCB,PE,4,0,2.0,0.0,25,16–31,0.0,50.0,,0.0
2018,PCB,PI,1,0,1.0,0.0,10,8–12,0.0,100.0,,0.0
2018,PCB,RJ,1,0,1.0,0.0,46,39–70,0.0,100.0,,0.0
2018,PCB,RR,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PCB,RS,1,0,1.0,0.0,31,16–31,0.0,100.0,,0.0
2018,PCB,SC,3,0,2.0,0.0,16,16–31,0.0,66.66666666666667,,0.0
2018,PCB,SE,1,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,PCB,SP,2,0,2.0,0.0,70,39–70,0.0,100.0,,0.0
2018,PCO,BA,2,0,2.0,0.0,39,39–70,0.0,100.0,,0.0
2018,PCO,GO,1,0,1.0,0.0,17,16–31,0.0,100.0,,0.0
2018,PCO,PR,1,0,1.0,0.0,30,16–31,0.0,100.0,,0.0
2018,PCO,RN,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PDT,AC,16,1,7.0,1.0,8,8–12,0.4375,43.75,100.0,14.285714285714286
2018,PDT,AL,2,0,1.0,0.0,9,8–12,0.0,50.0,,0.0
2018,PDT,AM,3,0,2.0,0.0,8,8–12,0.0,66.66666666666667,,0.0
2018,PDT,AP,7,0,1.0,0.0,8,8–12,0.0,14.285714285714286,,0.0
2018,PDT,BA,36,2,2.0,1.0,39,39–70,0.1111111111111111,5.555555555555555,50.0,50.0
2018,PDT,CE,14,6,3.0,2.0,22,16–31,1.2857142857142858,21.428571428571427,33.333333333333336,66.66666666666667
2018,PDT,DF,4,0,2.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PDT,ES,5,1,1.0,1.0,10,8–12,0.2,20.0,100.0,100.0
2018,PDT,GO,2,1,1.0,1.0,17,16–31,0.5,50.0,100.0,100.0
2018,PDT,MA,8,1,3.0,1.0,18,16–31,0.375,37.5,100.0,33.333333333333336
2018,PDT,MG,24,2,4.0,2.0,53,39–70,0.3333333333333333,16.666666666666668,100.0,50.0
2018,PDT,MS,8,1,2.0,1.0,8,8–12,0.25,25.0,100.0,50.0
2018,PDT,MT,4,0,2.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PDT,PA,4,0,1.0,0.0,17,16–31,0.0,25.0,,0.0
2018,PDT,PB,1,1,1.0,1.0,12,8–12,1.0,100.0,100.0,100.0
2018,PDT,PE,9,2,1.0,1.0,25,16–31,0.2222222222222222,11.11111111111111,50.0,100.0
