Ano,Partido,Listas,Listas sem núcleo,Candidatos,Posições no núcleo,Eleitos,Eleitos dentro,Eleitos fora,Não eleitos dentro,Amplitude agregada %,Amplitude mediana das listas %,Cobertura %,Precisão %,Lift
2018,PSD,27,2,195,75.0,35,32.0,3.0,43.0,38.46153846153846,50.0,91.42857142857143,42.666666666666664,1.6519765804345072
2018,PSDB,27,0,237,91.0,30,26.0,4.0,65.0,38.39662447257384,50.0,86.66666666666667,28.571428571428573,1.8741780201969684
2018,PSL,27,5,434,82.0,52,21.5,30.5,60.5,18.89400921658986,18.181818181818183,41.34615384615385,26.21951219512195,1.8086894893403116
2018,PSOL,27,0,501,201.0,10,10.0,0.0,191.0,40.119760479041915,50.0,100.0,4.975124378109452,6.0966014453822295
2018,PSTU,16,13,35,5.0,0,0.0,0.0,5.0,14.285714285714286,0.0,,0.0,
2018,PT,26,0,363,125.0,56,56.0,0.0,69.0,34.43526170798898,47.72727272727273,100.0,44.8,2.129474056262939
2018,PTB,26,1,129,49.0,10,9.0,1.0,40.0,37.98449612403101,76.19047619047619,90.0,18.367346938775512,1.296
2018,PTC,25,1,199,45.0,2,2.0,0.0,43.0,22.613065326633166,50.0,100.0,4.444444444444445,1.3333333333333333
2018,PV,27,0,260,91.0,4,3.5,0.5,87.5,35.0,60.0,87.5,3.8461538461538463,2.121212121212121
2018,REDE,27,3,242,70.0,1,1.0,0.0,69.0,28.925619834710744,25.0,100.0,1.4285714285714286,4.0
2018,SOLIDARIEDADE,27,2,145,48.0,13,13.0,0.0,35.0,33.10344827586207,50.0,100.0,27.083333333333332,1.548731642189586
2022,AGIR,22,7,318,94.0,0,0.0,0.0,94.0,29.559748427672957,23.76068376068376,,0.0,
2022,AVANTE,21,4,396,134.0,7,7.0,0.0,127.0,33.83838383838384,30.76923076923077,100.0,5.223880597014926,3.631929046563193
2022,CIDADANIA,23,0,154,74.0,5,4.0,1.0,70.0,48.05194805194805,50.0,80.0,5.405405405405405,2.2052067381316998
2022,DC,21,0,218,163.0,0,0.0,0.0,163.0,74.77064220183486,86.66666666666667,,0.0,
2022,MDB,25,1,467,142.0,42,35.5,6.5,106.5,30.406852248394003,35.294117647058826,84.52380952380952,25.0,2.1402188206461386
