cluster,n_clusters,ano,regra,desfecho,metrica,ponto,ic95_inf,ic95_sup,sd_boot
partido,32,2022,top_necr,competitividade,precisao,0.2784184285153904,0.2043057118395681,0.350014016530911,0.03685228848331228
partido,32,2022,top_necr,competitividade,lift,1.8899743690387405,1.7464669417288192,2.0527484036876276,0.0778068662104431
partido,32,2022,top_necr,eleicao,cobertura,0.9263007947218473,0.8699744750563391,0.9750693182582946,0.027681424186245272
partido,32,2022,top_necr,eleicao,precisao,0.12426577084003862,0.07280562241687753,0.1793729831096052,0.026941071219162012
partido,32,2022,top_necr,eleicao,lift,2.1174347754230407,1.9340071134197894,2.3226308333519197,0.10190301704440521
partido,32,2022,top_50,competitividade,cobertura,0.5276525943192609,0.4944655154888364,0.5598046507256934,0.017000541134543846
partido,32,2022,top_50,competitividade,precisao,0.38236986986986987,0.2809736789295845,0.4801974484221897,0.049741189372575954
partido,32,2022,top_50,competitividade,lift,2.6542606989488493,2.455683625562077,2.8783414642082477,0.10811704689094996
partido,32,2022,top_50,eleicao,cobertura,0.7041260558804419,0.6096941314558996,0.7995114960760581,0.05065485341480055
partido,32,2022,top_50,eleicao,precisao,0.20315898012748407,0.1265315258165279,0.28370398624599136,0.04073258582667692
partido,32,2022,top_50,eleicao,lift,3.598668802097984,3.288896467551651,4.100545497489508,0.2140140603143088
partido,32,2022,top_80,competitividade,cobertura,0.8136865815598847,0.7900397606726517,0.8378250385923518,0.012273888516045958
partido,32,2022,top_80,competitividade,precisao,0.2787369258630747,0.20379691443302872,0.3540852570096119,0.03817993974489669
partido,32,2022,top_80,competitividade,lift,1.9796729570575986,1.848974238169496,2.109027754429166,0.06618585105011694
partido,32,2022,top_80,eleicao,cobertura,0.9194257010046485,0.8654937357134717,0.9688582899223037,0.026793403317425468
partido,32,2022,top_80,eleicao,precisao,0.12547629279472855,0.07241989867943048,0.18412278302605803,0.02859376999419908
partido,32,2022,top_80,eleicao,lift,2.3379120125612616,2.1767269086344925,2.5147515963267266,0.086330821893682
