ano_eleicao,sg_uf,sg_partido,nr_candidato,nm_candidato,comp_rrd,comp_texto,comp_cod_ok,comp_cod_kf,vit_texto,qe_texto,vit_prefeito_rrd,vit_prefeito_ok,vit_distrital,qe_majoritario,qe_rrd,qe_prop_ok,eleito,vr_receita_recursos_partidos
2018,DF,PSDB,4510,LEONARDO SILVA BORGES,False,False,False,False,False,False,False,False,False,False,False,False,0,52250.0
2018,DF,PSDB,4515,PAULO ROBERTO RORIZ,True,False,True,True,False,False,False,False,True,False,False,False,0,50000.0
2018,DF,PSDB,4545,CLAUDIA AIRES BARBOSA RIBEIRO,False,False,False,False,False,False,False,False,False,False,False,False,0,92750.0
2018,DF,PSDB,4548,ANDRÉIA MOURA ZEMUNER,False,False,False,False,False,False,False,False,False,False,False,False,0,220170.35
2018,DF,PSDB,4550,MARCELO ALVES ENEAS DANTAS,False,False,False,False,False,False,False,False,False,False,False,False,0,52250.0
2018,DF,PSDB,4555,LEANDRO NARDY DE ALMEIDA,False,False,False,False,False,False,False,False,False,False,False,False,0,50000.0
2018,DF,PSDB,4590,HERLAN INACIO DE MOURA,False,False,False,False,False,False,False,False,False,False,False,False,0,52250.0
2018,DF,PSL,1717,NEWTON LINS TEIXEIRA DE CARVALHO,False,False,False,False,False,False,False,False,False,False,False,False,0,7990.25
2018,DF,PSL,1733,SERGIO FERNANDO PEDROSO ABOUD,False,False,False,False,False,False,False,False,False,False,False,False,0,5091.0
2018,DF,PSL,1777,WILL GODOY RODRIGUES,False,False,False,False,False,False,False,False,False,False,False,False,0,1568.25
2018,DF,PSOL,5000,OSVALDO ROSA DA SILVA JUNIOR,False,False,False,False,False,False,False,False,False,False,False,False,0,31874.28
2018,DF,PSOL,5001,ANTONIO JORGE CARDOSO DE OLIVEIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,3501.87
2018,DF,PSOL,5005,ANJULI TOSTES FARIA,False,False,False,False,False,False,False,False,False,False,False,False,0,31874.28
2018,DF,PSOL,5011,NATHAN BELCAVELLO DE OLIVEIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,2268.29
2018,DF,PSOL,5013,EDISON PINTO DE OLIVEIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,3501.87
2018,DF,PSOL,5016,ANGELO BALBINO SOARES PEREIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,3501.87
2018,DF,PSOL,5033,ITAMAR ALVES DE OLIVEIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,3501.87
2018,DF,PSOL,5044,TALITA VICTOR SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,31874.28
2018,DF,PSOL,5050,MARIA JOSÉ DA CONCEIÇÃO MANINHA,True,True,True,True,True,True,False,False,True,False,True,True,0,83684.77
2018,DF,PSOL,5051,JOSÉ GONÇALVES DE ALMEIDA,False,False,False,False,False,False,False,False,False,False,False,False,0,31874.28
2018,DF,PSOL,5055,ERICK VINICIUS ANDRADE DA ROCHA,False,False,False,False,False,False,False,False,False,False,False,False,0,31874.28
2018,DF,PSOL,5060,HELOÍSA PIRES ZAMPROGNO GOZZI,False,False,False,False,False,False,False,False,False,False,False,False,0,3501.87
2018,DF,PSOL,5061,ROGÉRIO DA VEIGA,False,False,False,False,False,False,False,False,False,False,False,False,0,7202.62
