Ano,UF,Partido,Magnitude,tipo,C,F,Mp,E,Recursos,Recebedores,Sem_recursos,NECr,D,Q,NECr_Mp,NECr_E,NECr_menos_E,k_arredondado,eleitos_top_arredondado,Cobertura_pct,Precisao_pct,Competitivos_top,Fracao_nucleo_pct,Aleatoria_pct,Lift,Excedente_pp,Precisao_aleatoria_pct,Cobertura_competitiva_pct,Lift_competitivo
2018,AL,PRB,Pequeno (8–12),Competitivo,1,1,0,1,842225.39,1,0,1.0,0.0,1.0,,1.0,0.0,1,1.0,100.0,100.0,1.0,100.0,100.0,1.0,0.0,100.0,100.0,1.0
2018,AL,PROS,Pequeno (8–12),Menos competitivo,1,0,0,0,0.0,0,1,,,,,,,0,0.0,,,0.0,,,,,,,
2018,AL,PRTB,Pequeno (8–12),Menos competitivo,2,1,0,0,200000.0,2,0,1.0512483574244416,0.9487516425755584,1.9025,,,1.0512483574244416,1,0.0,,0.0,0.0,52.56241787122208,,,,0.0,0.0,0.0
2018,AL,PSB,Pequeno (8–12),Competitivo,2,1,1,1,1313000.0,2,0,1.0076451482241104,0.9923548517758896,1.9848257132233813,1.0076451482241104,1.0076451482241104,0.0076451482241104,1,1.0,100.0,100.0,1.0,50.38225741120552,50.0,2.0,50.0,50.0,100.0,2.0
2018,AL,PSC,Pequeno (8–12),Menos competitivo,2,0,0,0,500000.0,2,0,1.923076923076923,0.0769230769230771,1.04,,,1.923076923076923,2,0.0,,0.0,0.0,96.15384615384615,,,,0.0,,
2018,AL,PSD,Pequeno (8–12),Competitivo,2,0,1,1,1499800.0,2,0,1.7242330643047397,0.2757669356952603,1.159935997867236,1.7242330643047397,1.7242330643047397,0.7242330643047397,2,1.0,100.0,50.0,0.0,86.21165321523698,100.0,1.0,0.0,50.0,,
2018,AL,PSDB,Pequeno (8–12),Competitivo,3,1,1,1,2055252.42,3,0,1.9715360675508928,1.0284639324491072,1.5216561590611422,1.9715360675508928,1.9715360675508928,0.9715360675508928,2,1.0,100.0,50.0,1.0,65.7178689183631,66.66666666666667,1.5,33.33333333333333,33.333333333333336,100.0,1.5
2018,AL,PSL,Pequeno (8–12),Menos competitivo,10,1,0,0,0.0,0,10,,,,,,,0,0.0,,,0.0,,,,,,0.0,
2018,AL,PSOL,Pequeno (8–12),Menos competitivo,2,0,0,0,16263.22,2,0,1.1217037725373162,0.8782962274626838,1.783001937736164,,,1.1217037725373162,1,0.0,,0.0,0.0,56.085188626865815,,,,0.0,,
2018,AL,PSTU,Pequeno (8–12),Menos competitivo,1,0,0,0,0.0,0,1,,,,,,,0,0.0,,,0.0,,,,,,,
2018,AL,PT,Pequeno (8–12),Competitivo,1,1,1,1,1000000.0,1,0,1.0,0.0,1.0,1.0,1.0,0.0,1,1.0,100.0,100.0,1.0,100.0,100.0,1.0,0.0,100.0,100.0,1.0
2018,AL,PTB,Pequeno (8–12),Menos competitivo,2,1,1,1,1709057.38,2,0,1.64720372963403,0.3527962703659699,1.2141788923974528,1.64720372963403,1.64720372963403,0.6472037296340301,2,1.0,100.0,50.0,1.0,82.3601864817015,100.0,1.0,0.0,50.0,100.0,1.0
2018,AL,PTC,Pequeno (8–12),Menos competitivo,2,1,0,0,300000.0,1,1,1.0,1.0,2.0,,,1.0,1,0.0,,0.0,0.0,50.0,,,,0.0,0.0,0.0
2018,AL,PV,Pequeno (8–12),Menos competitivo,2,0,0,0,232742.2,2,0,1.1741254662585308,0.8258745337414692,1.703395469628303,,,1.1741254662585308,1,0.0,,0.0,0.0,58.70627331292654,,,,0.0,,
2018,AL,REDE,Pequeno (8–12),Menos competitivo,1,1,0,0,725000.0,1,0,1.0,0.0,1.0,,,1.0,1,0.0,,0.0,1.0,100.0,,,,0.0,100.0,1.0
2018,AL,SOLIDARIEDADE,Pequeno (8–12),Menos competitivo,1,1,0,0,0.0,0,1,,,,,,,0,0.0,,,0.0,,,,,,0.0,
2018,AM,AVANTE,Pequeno (8–12),Menos competitivo,4,0,0,0,34503.2,3,1,2.080793194812673,1.919206805187327,1.9223438494377172,,,2.080793194812673,2,0.0,,0.0,0.0,52.019829870316826,,,,0.0,,
2018,AM,DC,Pequeno (8–12),Menos competitivo,6,0,0,0,75644.0,6,0,2.941752245328261,3.058247754671739,2.039600720804576,,,2.941752245328261,3,0.0,,0.0,0.0,49.029204088804356,,,,0.0,,
2018,AM,DEM,Pequeno (8–12),Competitivo,2,1,1,0,1078000.0,2,0,1.1699531045814149,0.8300468954185853,1.7094702276255416,1.1699531045814149,,1.1699531045814149,1,0.0,,0.0,1.0,58.497655229070745,,,,0.0,100.0,2.0
2018,AM,MDB,Pequeno (8–12),Competitivo,7,0,1,0,1893631.8,7,0,1.139613899378244,5.860386100621756,6.142431225013221,1.139613899378244,,1.139613899378244,1,0.0,,0.0,0.0,16.280198562546342,,,,0.0,,
2018,AM,PATRI,Pequeno (8–12),Menos competitivo,5,0,0,0,280.1,4,1,3.99999847048105,1.0000015295189502,1.2500004779748546,,,3.99999847048105,4,0.0,,0.0,0.0,79.999969409621,,,,0.0,,
2018,AM,PC DO B,Pequeno (8–12),Menos competitivo,8,0,0,0,189848.58,8,0,3.533246765432056,4.466753234567944,2.264206417244604,,,3.533246765432056,4,0.0,,0.0,0.0,44.1655845679007,,,,0.0,,
