ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,eleito,partido,proprios,pessoas_fisicas,coletivo_internet,demais,nao_partidarios,privado_proprio,privado_ampliado,necr,lista_sem_recursos,top_piso,top_arredondado,top_teto,alto_nao_partidarios,alto_privado_proprio
2022,MS,2211,RODOLFO OLIVEIRA NOGUEIRA,PL,1,501413.54,35000.0,238600.0,0.0,0.0,273600.0,273600.0,273600.0,4.7557925719862775,False,1.0,1.0,1.0,True,True
2022,MS,2222,MARCOS SBOROWSKI POLLON,PL,1,550000.0,244800.0,86660.0,24060.840000000004,0.0,355520.84,331460.0,355520.84,4.7557925719862775,False,1.0,1.0,1.0,True,True
2022,MS,1122,LUIZ ALBERTO OVANDO,PP,1,2230000.0,0.0,3000.0,0.0,0.0,3000.0,3000.0,3000.0,5.917163484516892,False,1.0,1.0,1.0,False,False
2022,MS,4512,DAGOBERTO NOGUEIRA FILHO,PSDB,1,2276740.12,315000.0,231918.19,0.0,0.0,546918.19,546918.19,546918.19,6.026043943802492,False,1.0,1.0,1.0,True,True
2022,MS,4545,HUMBERTO REZENDE PEREIRA,PSDB,1,1464742.02,0.0,121500.0,0.0,0.0,121500.0,121500.0,121500.0,6.026043943802492,False,1.0,1.0,1.0,False,False
2022,MS,4567,GERALDO RESENDE PEREIRA,PSDB,1,1626718.76,75000.0,146866.66999999998,0.0,0.0,221866.66999999998,221866.66999999998,221866.66999999998,6.026043943802492,False,1.0,1.0,1.0,True,True
2022,MS,1331,VANDER LUIZ DOS SANTOS LOUBET,PT,1,1800000.0,0.0,369800.0,0.0,40970.23,410770.23,369800.0,369800.0,2.7639435660835874,False,1.0,1.0,1.0,True,True
2022,MS,1367,CAMILA BAZACHI JARA MARZOCHI,PT,1,743605.09,0.0,19200.0,8562.0,66150.0,93912.0,19200.0,27762.0,2.7639435660835874,False,1.0,1.0,1.0,False,False
2022,MT,1520,JUAREZ ALVES DA COSTA,MDB,1,2501474.52,500.0,115500.0,0.0,0.0,116000.0,116000.0,116000.0,5.525417938355343,False,1.0,1.0,1.0,False,False
2022,MT,1555,EMANUEL PINHEIRO DA SILVA PRIMO TEIXEIRA,MDB,1,2501472.52,0.0,685936.15,9152.0,0.0,695088.15,685936.15,695088.15,5.525417938355343,False,1.0,1.0,1.0,True,True
2022,MT,2202,AMÁLIA SCUDELER DE BARROS SANTOS,PL,1,1055429.52,0.0,590048.12,6542.0,0.0,596590.12,590048.12,596590.12,6.223955679017267,False,1.0,1.0,1.0,True,True
2022,MT,2210,JOSÉ ANTÔNIO DOS SANTOS MEDEIROS,PL,1,1027474.52,39753.26,1757840.0,0.0,0.0,1797593.26,1797593.26,1797593.26,6.223955679017267,False,1.0,1.0,1.0,True,True
2022,MT,2222,RUBIA FERNANDA DINIZ ROBSON SANTOS DE SIQUEIRA,PL,1,1001474.52,119800.0,1085543.49,1470.0,0.0,1206813.49,1205343.49,1206813.49,6.223955679017267,False,1.0,1.0,1.0,True,True
2022,MT,2230,ABILIO JACQUES BRUNINI MOUMER,PL,1,1013974.52,400.0,96844.0,340.0,5000.0,102584.0,97244.0,97584.0,6.223955679017267,False,1.0,1.0,1.0,False,False
2022,MT,4400,FÁBIO PAULINO GARCIA,UNIAO,1,1080000.0,300000.0,921043.4,0.0,37498.83,1258542.23,1221043.4,1221043.4,6.8377711370697805,False,0.0,0.5,0.5,True,True
2022,MT,4422,JONILDO JOSÉ DE ASSIS,UNIAO,1,1153100.0,20000.0,661852.02,1514.0,0.0,683366.02,681852.02,683366.02,6.8377711370697805,False,1.0,1.0,1.0,True,True
2022,PA,1500,OLIVAL HENRIQUE MARQUES DE SOUZA,MDB,1,2500000.0,25200.0,167700.0,0.0,21300.43,214200.43,192900.0,192900.0,4.709583411155897,False,1.0,1.0,1.0,True,True
2022,PA,1510,ANDREIA BRITO GONÇALVES SIQUEIRA,MDB,1,387500.0,253000.0,286200.0,0.0,39402.25,578602.25,539200.0,539200.0,4.709583411155897,False,0.25,0.5,0.5,True,True
2022,PA,1511,ANTONIO LEOCADIO DOS SANTOS,MDB,1,70000.0,317490.0,606520.73,0.0,17196.0,941206.73,924010.73,924010.73,4.709583411155897,False,0.0,0.0,0.0,True,True
2022,PA,1512,KENISTON DE JESUS REGO BRAGA,MDB,1,70000.0,0.0,1698300.0,0.0,17200.0,1715500.0,1698300.0,1698300.0,4.709583411155897,False,0.0,0.0,0.0,True,True
2022,PA,1515,ELCIONE THEREZINHA ZAHLUTH BARBALHO,MDB,1,2500000.0,0.0,61714.0,0.0,29773.0,91487.0,61714.0,61714.0,4.709583411155897,False,1.0,1.0,1.0,False,False
2022,PA,1522,HENDERSON LIRA PINTO,MDB,1,125000.0,0.0,223997.83000000002,0.0,6200.0,230197.83000000002,223997.83000000002,223997.83000000002,4.709583411155897,False,0.0,0.0,0.0,True,True
2022,PA,1555,JOSE BENITO PRIANTE JUNIOR,MDB,1,2500000.0,0.0,0.0,0.0,15603.5,15603.5,0.0,0.0,4.709583411155897,False,1.0,1.0,1.0,False,False
2022,PA,1567,ALESSANDRA HABER CARVALHO SANTOS,MDB,1,387500.0,190000.0,619829.64,0.0,8186.93,818016.5700000001,809829.64,809829.64,4.709583411155897,False,0.25,0.5,0.5,True,True
2022,PA,1577,RENILCE CONCEIÇÃO NICODEMOS DE ALBUQUERQUE,MDB,1,387500.0,238000.0,811335.98,0.0,57802.6,1107138.58,1049335.98,1049335.98,4.709583411155897,False,0.25,0.5,0.5,True,True
