ano_eleicao,sg_uf,nr_candidato,sg_partido_norm,nm_candidato,vr_receita_recursos_partidos,C,NECr,lista_sem_recursos,rank_recursos_partidarios,share_recursos_partidarios,share_acumulado,share_igualitaria,razao_share_igual,top_necr,nucleo_80,acima_divisao_igual,k_top_necr,k_80,k_acima_igual,competitivo_previo,eleito
2018,AC,1414,PTB,CHARLENE MARIA DE LIMA,449599.75,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
2018,AC,3611,PTC,JOSÉ EDIMAR SANTIAGO DE MELO JUNIOR,570000.0,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
2018,AC,4300,PV,ITAMARA SOUZA DA COSTA,51752.25,2.0,1.3543842214897526,False,2.0,0.15478780486637683,1.0,0.5,0.30957560973275366,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
2018,AC,4343,PV,HENRIQUE AFONSO SOARES LIMA,282590.95,2.0,1.3543842214897526,False,1.0,0.8452121951336232,0.8452121951336232,0.5,1.6904243902672464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2018,AC,1800,REDE,IUNA BARROS CHAVES,800.0,2.0,1.0084209033413256,False,2.0,0.0041928721174004195,1.0,0.5,0.008385744234800839,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
2018,AC,1818,REDE,CARLOS GOMES DA COSTA SOUZA,190000.0,2.0,1.0084209033413256,False,1.0,0.9958071278825996,0.9958071278825996,0.5,1.9916142557651992,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
2018,AC,7777,SOLIDARIEDADE,VANDA DENIR MILANI NOGUEIRA,1450000.0,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1
2018,AL,7070,AVANTE,GIVALDO DE SA GOUVEIA CARIMBÃO,319000.0,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0
2018,AL,2700,DC,VILMA LINS DA SILVA,48070.0,2.0,1.888136370690797,False,1.0,0.6217020175892395,0.6217020175892395,0.5,1.243404035178479,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0
2018,AL,2727,DC,RORYERTON FREIRE DE OLIVEIRA,29250.0,2.0,1.888136370690797,False,2.0,0.37829798241076046,1.0,0.5,0.7565959648215209,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0
