ano_eleicao,sg_uf,sg_partido_norm,regra,desfecho,n,k,total,hits,expected
2018,AL,PP,top_necr,eleicao,5,2.0,1.0,1.0,0.4
2018,AL,PP,nucleo_80,competitividade,5,2.0,1.0,1.0,0.4
2018,AL,PP,nucleo_80,eleicao,5,2.0,1.0,1.0,0.4
2018,AL,PP,acima_divisao_igual,competitividade,5,2.0,1.0,1.0,0.4
2018,AL,PP,acima_divisao_igual,eleicao,5,2.0,1.0,1.0,0.4
2018,AL,PPL,top_necr,competitividade,2,2.0,0.0,0.0,0.0
2018,AL,PPL,top_necr,eleicao,2,2.0,0.0,0.0,0.0
2018,AL,PPL,nucleo_80,competitividade,2,2.0,0.0,0.0,0.0
2018,AL,PPL,nucleo_80,eleicao,2,2.0,0.0,0.0,0.0
2018,AL,PPL,acima_divisao_igual,competitividade,2,0.0,0.0,0.0,0.0
2018,AL,PPL,acima_divisao_igual,eleicao,2,0.0,0.0,0.0,0.0
2018,AL,PPS,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AL,PPS,top_necr,eleicao,1,1.0,0.0,0.0,0.0
2018,AL,PPS,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AL,PPS,nucleo_80,eleicao,1,1.0,0.0,0.0,0.0
2018,AL,PPS,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AL,PPS,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,PR,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AL,PR,top_necr,eleicao,1,1.0,1.0,1.0,1.0
2018,AL,PR,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AL,PR,nucleo_80,eleicao,1,1.0,1.0,1.0,1.0
2018,AL,PR,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AL,PR,acima_divisao_igual,eleicao,1,0.0,1.0,0.0,0.0
2018,AL,PRB,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AL,PRB,top_necr,eleicao,1,1.0,1.0,1.0,1.0
2018,AL,PRB,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AL,PRB,nucleo_80,eleicao,1,1.0,1.0,1.0,1.0
2018,AL,PRB,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AL,PRB,acima_divisao_igual,eleicao,1,0.0,1.0,0.0,0.0
2018,AL,PROS,top_necr,competitividade,1,0.0,0.0,0.0,0.0
2018,AL,PROS,top_necr,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,PROS,nucleo_80,competitividade,1,0.0,0.0,0.0,0.0
2018,AL,PROS,nucleo_80,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,PROS,acima_divisao_igual,competitividade,1,0.0,0.0,0.0,0.0
2018,AL,PROS,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,PRTB,top_necr,competitividade,2,1.0,1.0,0.0,0.5
2018,AL,PRTB,top_necr,eleicao,2,1.0,0.0,0.0,0.0
2018,AL,PRTB,nucleo_80,competitividade,2,1.0,1.0,0.0,0.5
2018,AL,PRTB,nucleo_80,eleicao,2,1.0,0.0,0.0,0.0
2018,AL,PRTB,acima_divisao_igual,competitividade,2,1.0,1.0,0.0,0.5
2018,AL,PRTB,acima_divisao_igual,eleicao,2,1.0,0.0,0.0,0.0
2018,AL,PSB,top_necr,competitividade,2,1.0,1.0,1.0,0.5
2018,AL,PSB,top_necr,eleicao,2,1.0,1.0,1.0,0.5
2018,AL,PSB,nucleo_80,competitividade,2,1.0,1.0,1.0,0.5
2018,AL,PSB,nucleo_80,eleicao,2,1.0,1.0,1.0,0.5
2018,AL,PSB,acima_divisao_igual,competitividade,2,1.0,1.0,1.0,0.5
2018,AL,PSB,acima_divisao_igual,eleicao,2,1.0,1.0,1.0,0.5
2018,AL,PSC,top_necr,competitividade,2,2.0,0.0,0.0,0.0
2018,AL,PSC,top_necr,eleicao,2,2.0,0.0,0.0,0.0
2018,AL,PSC,nucleo_80,competitividade,2,2.0,0.0,0.0,0.0
2018,AL,PSC,nucleo_80,eleicao,2,2.0,0.0,0.0,0.0
2018,AL,PSC,acima_divisao_igual,competitividade,2,1.0,0.0,0.0,0.0
2018,AL,PSC,acima_divisao_igual,eleicao,2,1.0,0.0,0.0,0.0
2018,AL,PSD,top_necr,competitividade,2,2.0,0.0,0.0,0.0
2018,AL,PSD,top_necr,eleicao,2,2.0,1.0,1.0,1.0
