Ano,UF,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,TO,NECr / Mp (Mp > 0),6,24,1.005330653801301,0.09753226927719678,0.8417972759973468,1.0,1.0,1.0352745884631345,1.1431538621929462
2018,TO,NECr / E (E > 0),6,24,1.1753112379504846,0.4943070923755305,0.8417972759973468,0.9916307903993946,1.0,1.0352745884631345,2.17419631322219
2018,TO,NECr − E,23,7,1.6550958485474296,1.9978738474876374,-0.31640544800530646,1.0,1.0,1.8853094073249852,7.692307692307692
2018,TO,Cobertura Top-NECr por lista (%),6,24,100.0,0.0,100.0,100.0,100.0,100.0,100.0
2018,TO,Precisão Top-NECr por lista (%),23,7,23.91304347826087,42.291104849685766,0.0,0.0,0.0,25.0,100.0
2022,AC,Candidatos (C),21,0,6.095238095238095,2.755081884531963,2.0,3.0,7.0,9.0,9.0
2022,AC,Competitivos (F),21,0,1.0952380952380953,0.9952267030562386,0.0,0.0,1.0,2.0,3.0
2022,AC,Competitivos na lista (%),21,0,17.739984882842023,16.86106617139444,0.0,0.0,14.285714285714286,28.571428571428573,50.0
2022,AC,Bancada pré-eleitoral (Mp),21,0,0.38095238095238093,0.7400128699009549,0.0,0.0,0.0,1.0,3.0
2022,AC,Eleitos (E),21,0,0.38095238095238093,0.9734572654303053,0.0,0.0,0.0,0.0,3.0
2022,AC,NECr,18,3,4.075773222182906,2.3002420849993728,1.0340811162203973,2.0628445414308536,3.4562678947244923,5.872547171890927,7.740195880403515
2022,AC,D = C − NECr,18,3,2.313115666705983,1.8546446757011525,0.022194208199427967,1.0799138380621618,1.6486007915543706,3.3513705073950115,6.682039209678301
2022,AC,Q = C / NECr,18,3,1.7395282950238702,0.7700848872277799,1.0112216317150242,1.1875952320450467,1.4065202657521032,1.9901475890254046,3.8827231407788108
2022,AC,NECr / Mp (Mp > 0),6,15,2.220299199046971,1.1329574794080344,1.0340811162203973,1.2486554082362549,2.0766893357880316,3.2006657922303896,3.5863666963885295
2022,AC,NECr / E (E > 0),3,18,2.2573845468065428,0.44257558076644066,1.74745039643331,2.115336356770598,2.4832223171078858,2.512351621993159,2.541480926878432
2022,AC,NECr − E,18,3,3.631328777738461,2.0172999788504318,1.0340811162203973,1.8962299443123096,3.349537995173767,4.5807488233073865,7.740195880403515
2022,AC,Cobertura Top-NECr por lista (%),3,18,100.0,0.0,100.0,100.0,100.0,100.0,100.0
2022,AC,Precisão Top-NECr por lista (%),18,3,8.167989417989418,19.53359130550578,0.0,0.0,0.0,0.0,66.66666666666667
2022,AL,Candidatos (C),24,0,6.416666666666667,3.4378540660868877,1.0,2.75,7.5,9.25,10.0
2022,AL,Competitivos (F),24,0,0.9583333333333334,1.545798419465872,0.0,0.0,0.0,1.25,5.0
2022,AL,Competitivos na lista (%),24,0,13.229166666666666,19.31544727991533,0.0,0.0,0.0,26.25,50.0
2022,AL,Bancada pré-eleitoral (Mp),24,0,0.375,0.6468989572333266,0.0,0.0,0.0,1.0,2.0
2022,AL,Eleitos (E),24,0,0.375,0.9237212077056678,0.0,0.0,0.0,0.0,4.0
2022,AL,NECr,20,4,4.043003757055587,2.3428662307247365,1.0,1.9634624614626257,4.1957678252359605,5.409836893678385,8.592136150234742
2022,AL,D = C − NECr,20,4,2.756996242944413,2.3479446629642853,0.0,0.810822578498221,2.6070479885461353,4.433596877705386,7.92386668636931
2022,AL,Q = C / NECr,20,4,1.9487109770509783,1.6013431353847607,1.0,1.1706970653188533,1.608779133769386,1.8789941124947394,8.363276079276407
2022,AL,NECr / Mp (Mp > 0),7,17,3.6493492500256957,1.2914876389807726,1.2302000548095369,3.18129316636696,4.262655350106093,4.332133154099217,5.025736704331889
2022,AL,NECr / E (E > 0),5,19,3.155489214315675,1.6520010861021597,1.2302000548095369,2.1313276750530465,2.6751350130534535,4.715046624330451,5.025736704331889
2022,AL,NECr − E,20,4,3.5930037570555866,2.108503541180807,0.23020005480953687,1.9634624614626257,3.701248972005459,4.403172691367566,8.592136150234742
2022,AL,Cobertura Top-NECr por lista (%),5,19,70.0,44.721359549995796,0.0,50.0,100.0,100.0,100.0
2022,AL,Precisão Top-NECr por lista (%),20,4,9.222222222222223,24.14247293361282,0.0,0.0,0.0,0.0,100.0
2022,AM,Candidatos (C),25,0,5.96,2.936551265231604,1.0,4.0,6.0,9.0,9.0
2022,AM,Competitivos (F),25,0,0.88,1.2013880860626733,0.0,0.0,0.0,1.0,4.0
2022,AM,Competitivos na lista (%),25,0,12.82222222222222,15.997299154760894,0.0,0.0,0.0,22.22222222222222,50.0
2022,AM,Bancada pré-eleitoral (Mp),25,0,0.32,0.6904105059069326,0.0,0.0,0.0,0.0,3.0
2022,AM,Eleitos (E),25,0,0.32,0.6904105059069326,0.0,0.0,0.0,0.0,2.0
2022,AM,NECr,22,3,3.8196851202477586,2.015533648484837,1.0,2.338106360282207,3.462384125612007,5.095616666356673,7.784706602462247
2022,AM,D = C − NECr,22,3,2.4984966979340597,1.8314558207188294,0.0,0.9598996412787482,2.457651210920973,3.8462315753489364,5.667564966736212
2022,AM,Q = C / NECr,22,3,1.8472398180370668,0.9241148828709873,1.0,1.2740654632360475,1.4600785751190284,2.323858255408101,5.0
2022,AM,NECr / Mp (Mp > 0),6,19,4.164780838072635,1.9599293984371426,2.1379228255679106,3.3683465000450146,3.4813141003648265,4.4498810998944,7.784706602462247
2022,AM,NECr / E (E > 0),5,20,3.1236800747752893,0.8165456192554117,1.738040450194346,3.206884238351866,3.332435033263789,3.448687350835322,3.8923533012311236
2022,AM,NECr − E,22,3,3.456048756611395,1.8677118159997006,1.0,1.9304232888621262,3.1771571225424493,4.681686393985093,7.072968934138431
2022,AM,Cobertura Top-NECr por lista (%),5,20,80.0,44.721359549995796,0.0,100.0,100.0,100.0,100.0
2022,AM,Precisão Top-NECr por lista (%),22,3,7.196969696969697,17.11605548773886,0.0,0.0,0.0,0.0,66.66666666666667
2022,AP,Candidatos (C),21,0,6.380952380952381,2.8013602138281053,1.0,4.0,7.0,9.0,9.0
2022,AP,Competitivos (F),21,0,1.5714285714285714,1.2478553029669976,0.0,1.0,1.0,2.0,4.0
2022,AP,Competitivos na lista (%),21,0,25.54043839758125,18.889482767901907,0.0,11.11111111111111,28.571428571428573,33.333333333333336,60.0
2022,AP,Bancada pré-eleitoral (Mp),21,0,0.38095238095238093,0.5895922723535711,0.0,0.0,0.0,1.0,2.0
2022,AP,Eleitos (E),21,0,0.38095238095238093,0.973457265430305,0.0,0.0,0.0,0.0,3.0
2022,AP,NECr,19,2,4.0421621497918325,2.392458354634623,1.0,2.180592592676614,3.464812058258373,5.839725834696744,8.667163584045484
2022,AP,D = C − NECr,19,2,2.5894167975765883,1.8640166312578625,0.0,1.3559011139572894,2.0366441318820305,3.867872387305725,6.890097590631717
2022,AP,Q = C / NECr,19,2,1.8640100412925351,0.8141456119079609,1.0,1.2680857230051155,1.6552704800555673,2.2428031442154546,4.265600133939204
2022,AP,NECr / Mp (Mp > 0),7,14,3.6676298054985312,2.2270288806118073,1.5933954276037254,2.1191722728004856,2.827077369297097,4.8535429357802045,7.307505424427515
2022,AP,NECr / E (E > 0),3,18,2.715679416160048,0.35950471113330484,2.4358351414758386,2.512950670914563,2.590066200353287,2.8556015535021526,3.1211369066510177
2022,AP,NECr − E,19,2,3.6211095182128856,1.984667332238768,1.0,2.180592592676614,3.464812058258373,4.394468914753979,8.667163584045484
2022,AP,Cobertura Top-NECr por lista (%),3,18,88.8888888888889,19.245008972987524,66.66666666666667,83.33333333333334,100.0,100.0,100.0
2022,AP,Precisão Top-NECr por lista (%),19,2,5.231829573934837,12.502486127433642,0.0,0.0,0.0,0.0,37.5
2022,BA,Candidatos (C),29,0,23.06896551724138,13.255540713449276,1.0,13.0,26.0,36.0,40.0
2022,BA,Competitivos (F),29,0,2.586206896551724,3.2239864562294205,0.0,0.0,2.0,4.0,14.0
