Ano,Partido,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2022,PSOL,NECr / E (E > 0),4,23,3.9836199228229363,2.5433079551122666,2.040672558554663,2.2882933184671215,3.150497802348891,4.845824406704706,7.5928115280393
2022,PSOL,NECr − E,27,0,5.4992916405337455,3.3973278032424727,1.51799917102556,2.966879544896714,4.381563951663064,6.723489693447835,16.379922668795693
2022,PSOL,Cobertura Top-NECr por lista (%),4,23,100.0,0.0,100.0,100.0,100.0,100.0,100.0
2022,PSOL,Precisão Top-NECr por lista (%),27,0,4.78395061728395,13.008036208996405,0.0,0.0,0.0,0.0,50.0
2022,PSTU,Candidatos (C),13,0,2.769230769230769,2.454718115312026,1.0,1.0,2.0,3.0,9.0
2022,PSTU,Competitivos (F),13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PSTU,Competitivos na lista (%),13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PSTU,Bancada pré-eleitoral (Mp),13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PSTU,Eleitos (E),13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PSTU,NECr,11,2,1.8820872077512625,0.6891630359688847,1.0,1.3287671232876712,2.0,2.105854322668482,3.0880109824361606
2022,PSTU,D = C − NECr,11,2,1.2088218831578283,2.0027910569299765,0.0,0.0,0.0,1.7982304425923161,5.911989017563839
2022,PSTU,Q = C / NECr,11,2,1.4780205729129605,0.7358862662017872,1.0,1.0,1.0,1.8153722129694128,2.9144974066445246
2022,PSTU,NECr / Mp (Mp > 0),0,13,,,,,,,
2022,PSTU,NECr / E (E > 0),0,13,,,,,,,
2022,PSTU,NECr − E,11,2,1.8820872077512625,0.6891630359688847,1.0,1.3287671232876712,2.0,2.105854322668482,3.0880109824361606
2022,PSTU,Cobertura Top-NECr por lista (%),0,13,,,,,,,
2022,PSTU,Precisão Top-NECr por lista (%),11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PT,Candidatos (C),27,0,13.296296296296296,13.569804756871084,2.0,4.5,8.0,15.0,57.0
2022,PT,Competitivos (F),27,0,4.148148148148148,3.879965341872406,0.0,2.0,3.0,5.5,16.0
2022,PT,Competitivos na lista (%),27,0,35.669674366089325,16.18771833128438,0.0,25.543478260869563,33.333333333333336,50.0,77.77777777777777
2022,PT,Bancada pré-eleitoral (Mp),27,0,2.074074074074074,2.182551892517739,0.0,1.0,1.0,2.5,8.0
