ano,uf,partido,C,total,NECr,k,E,F,hE,hF,esperado_E,esperado_F,empate,recebedores
2022,RO,PT,3,1194700.0,2.7949259985765176,3,0,2,0.0,2.0,0.0,2.0,False,3
2022,RO,PTB,9,2415600.0,7.911763908302169,8,0,0,0.0,0.0,0.0,0.0,False,9
2022,RO,PV,2,574997.4,1.9962263810321652,2,0,0,0.0,0.0,0.0,0.0,False,2
2022,RO,REPUBLICANOS,9,4698073.42,4.463840645516008,4,0,3,0.0,2.0,0.0,1.3333333333333333,False,9
2022,RO,SOLIDARIEDADE,6,205000.0,1.47585601404741,1,0,0,0.0,0.0,0.0,0.0,False,3
2022,RO,UNIAO,9,12908412.5,7.795408051671323,8,4,4,4.0,3.0,3.5555555555555554,3.5555555555555554,False,9
2022,RR,CIDADANIA,6,45666.67999999999,5.718334116464245,6,0,0,0.0,0.0,0.0,0.0,False,6
2022,RR,DC,6,118772.83,5.30055333866847,5,0,0,0.0,0.0,0.0,0.0,False,6
2022,RR,MDB,8,3503997.28,7.210439630590288,7,2,2,2.0,1.0,1.75,1.75,False,8
2022,RR,PATRIOTA,7,237750.0,4.298054851939683,4,0,0,0.0,0.0,0.0,0.0,True,7
2022,RR,PCO,1,3000.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2022,RR,PDT,8,385758.68,2.7621155482205793,3,0,1,0.0,0.0,0.0,0.375,False,6
2022,RR,PL,8,1700000.0,6.720930232558139,7,0,0,0.0,0.0,0.0,0.0,True,8
2022,RR,PMB,4,14808.9,3.981557264639696,4,0,0,0.0,0.0,0.0,0.0,False,4
2022,RR,PMN,6,750000.0,5.0,5,0,0,0.0,0.0,0.0,0.0,True,6
2022,RR,PODE,8,4480000.0,6.263778790337682,6,0,2,0.0,2.0,0.0,1.5,False,8
2022,RR,PP,9,4173999.9899999998,4.750839036747217,5,0,3,0.0,3.0,0.0,1.6666666666666667,False,9
2022,RR,PROS,8,1405972.2,4.290510985985771,4,0,0,0.0,0.0,0.0,0.0,False,8
2022,RR,PRTB,7,4900.0,7.0,7,0,0,0.0,0.0,0.0,0.0,False,7
2022,RR,PSC,3,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,RR,PSD,9,3849983.1,5.876090934693003,6,1,1,1.0,1.0,0.6666666666666666,0.6666666666666666,False,9
2022,RR,PSDB,1,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,RR,PSOL,3,210810.06,2.7172964060529843,3,0,0,0.0,0.0,0.0,0.0,False,3
2022,RR,PT,3,512450.0,1.5339332453391512,2,0,0,0.0,0.0,0.0,0.0,False,2
2022,RR,PTB,9,321830.0,8.19223770015476,8,0,1,0.0,1.0,0.0,0.8888888888888888,False,9
2022,RR,PV,3,149742.4,2.17301641947677,2,0,0,0.0,0.0,0.0,0.0,False,3
2022,RR,REDE,5,4268640.0,3.441698090573845,3,0,1,0.0,1.0,0.0,0.6,True,5
2022,RR,REPUBLICANOS,9,5215790.0,6.787116233992119,7,3,2,3.0,2.0,2.3333333333333335,1.5555555555555556,False,9
2022,RR,SOLIDARIEDADE,7,1369300.0,4.680621464521969,5,0,1,0.0,1.0,0.0,0.7142857142857143,False,7
2022,RR,UNIAO,8,6863259.279999999,6.257137826755669,6,2,3,2.0,3.0,1.5,2.25,False,8
2022,RS,AGIR,1,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,RS,AVANTE,30,2460592.0,8.430643911280523,8,0,0,0.0,0.0,0.0,0.0,False,30
2022,RS,CIDADANIA,8,2415643.05,1.1145406947206677,1,1,1,1.0,1.0,0.125,0.125,False,8
2022,RS,DC,7,150874.46000000002,1.9218856815688792,2,0,0,0.0,0.0,0.0,0.0,False,6
2022,RS,MDB,24,14598763.21,8.38018547701476,8,3,9,3.0,7.0,1.0,3.0,False,24
2022,RS,NOVO,6,365811.78,2.471425836397003,2,1,2,1.0,1.0,0.3333333333333333,0.6666666666666666,False,6
2022,RS,PATRIOTA,23,685000.0,18.02977905859751,18,0,0,0.0,0.0,0.0,0.0,True,22
2022,RS,PC DO B,4,1403560.95,2.4443665628778684,2,1,1,1.0,1.0,0.5,0.5,False,4
2022,RS,PCB,2,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
