year,model,variable,cluster,n_clusters,beta,se,ratio,p_norm,p_t
2022,R2,n_eleicoes_governador,sg_uf,27,0.28795297555035887,0.16214591583840518,1.3336945863948482,0.07575139004109785,0.08745807341063445
2022,R2,n_eleicoes_senador,sg_uf,27,1.238563631134978,0.20480487845105722,3.4506534922001855,1.4708335460459268e-09,2.1782432645395867e-06
2022,R2,n_eleicoes_deputado_federal,sg_uf,27,0.43915328781131185,0.026287736340277878,1.5513930788115204,1.1925478593935554e-62,2.0206703348168968e-15
2022,R2,n_eleicoes_deputado_estadual,sg_uf,27,0.39026876360710056,0.029002299980702282,1.4773778059172282,2.8204907306641236e-41,3.178025690333796e-13
2022,R2,n_eleicoes_prefeito,sg_uf,27,0.35255077377249117,0.03755164521920811,1.422691889349142,6.090460767634751e-21,7.758497065995967e-10
2022,R2,n_eleicoes_vereador,sg_uf,27,0.16676956370186927,0.02827190468632578,1.1814819776038539,3.6621341812847844e-09,3.197614798872461e-06
2022,R2,prop_votos_nominais_lag,sg_uf,27,1.0248886605692342,0.10477443044109126,2.7867851642182115,1.347136973887644e-22,3.3491468791724834e-10
2022,R2,qe_sem_vitoria,sg_uf,27,0.5313869020055765,0.08149696788482699,1.701290195946095,7.015415399164769e-11,6.521084045284053e-07
2022,R2,mulher,sg_uf,27,0.28034022435893885,0.032670805077660986,1.3235800499161852,9.425117680330363e-18,4.6370021906099535e-09
2022,R2,negra,sg_uf,27,-0.07487199457234255,0.03712397208188032,0.9278622501313203,0.04371535499457774,0.05415250125491623
2022,interaction,competitivo,lista_id,623,1.7610689312711532,0.05528853781398544,5.818653812364949,1.2219387645546903e-222,8.776690064541499e-133
2022,interaction,comp_x_ln_magnitude,lista_id,623,0.576371549406157,0.06179253507897373,1.7795696215199117,1.083696774955182e-20,1.87452293996227e-19
2022,interaction,mulher,lista_id,623,0.2955421182777214,0.03497935179407853,1.3438546894374788,2.9369519757517553e-17,2.0805427401074345e-16
2022,interaction,negra,lista_id,623,-0.06455721437619708,0.03445814792613655,0.9374824752525859,0.06099987626471378,0.06146856049920165
2022,interaction,competitivo,sg_partido,31,1.7610689312711532,0.08144897578070723,5.818653812364949,1.1215726082885037e-103,7.539188908121193e-20
2022,interaction,comp_x_ln_magnitude,sg_partido,31,0.576371549406157,0.06222814660260051,1.7795696215199117,2.0020205491420225e-20,2.6427756679381716e-10
2022,interaction,mulher,sg_partido,31,0.2955421182777214,0.036503375359548076,1.3438546894374788,5.66580386211427e-16,4.885753412718778e-09
2022,interaction,negra,sg_partido,31,-0.06455721437619708,0.04254984645990916,0.9374824752525859,0.12921271241538315,0.13968091278615896
2022,interaction,competitivo,sg_uf,27,1.7610689312711532,0.05935201560394059,5.818653812364949,1.7861329988048931e-193,1.3983453905105634e-21
2022,interaction,comp_x_ln_magnitude,sg_uf,27,0.576371549406157,0.06710284008008731,1.7795696215199117,8.744263316570134e-18,4.5472945875491225e-09
2022,interaction,mulher,sg_uf,27,0.2955421182777214,0.02860586470219004,1.3438546894374788,5.074891439768157e-25,1.0703499537666693e-10
2022,interaction,negra,sg_uf,27,-0.06455721437619708,0.032718844885806224,0.9374824752525859,0.0484853486624934,0.059204742459228486
